2023-10-08 15:13:48.090 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zzyl.service.test.IoTDeviceTest], using SpringBootContextLoader
2023-10-08 15:13:48.101 [main] INFO  o.s.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.zzyl.service.test.IoTDeviceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-08 15:13:48.103 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.zzyl.service.test.IoTDeviceTest]: IoTDeviceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-08 15:13:48.464 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.zzyl.ZzylApplication for test class com.zzyl.service.test.IoTDeviceTest
2023-10-08 15:13:48.723 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-08 15:13:48.773 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1c807b1d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@238b521e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1b39fd82, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3e2fc448, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@21680803, org.springframework.test.context.support.DirtiesContextTestExecutionListener@588ab592, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c8b96ec, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4cc61eb1, org.springframework.test.context.event.EventPublishingTestExecutionListener@2d8f2f3a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2024293c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7048f722, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@c074c0c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@58a55449, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5949eba8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6e0ff644]
2023-10-08 15:13:49.425 [main] INFO  com.zzyl.service.test.IoTDeviceTest-Starting IoTDeviceTest using Java 11 on LAPTOP-EK2VLALR with PID 6792 (started by yuhon in D:\code\2023\zzyl-code\zzyl\zzyl-web)
2023-10-08 15:13:49.426 [main] INFO  com.zzyl.service.test.IoTDeviceTest-No active profile set, falling back to 1 default profile: "default"
2023-10-08 15:13:49.438 [background-preinit] INFO  org.hibernate.validator.internal.util.Version-HV000001: Hibernate Validator 6.2.5.Final
2023-10-08 15:13:52.945 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-08 15:13:52.950 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Bootstrapping Spring Data Redis repositories in DEFAULT mode.
